method,questions,public_correct,public_accuracy,strict_correct,strict_accuracy,avg_latency_seconds,avg_peak_vram_gb,avg_edge_count,avg_cross_edges,avg_diagonal_edges,avg_source_token_exposure,public_delta_vs_sequential,public_delta_ci_low,public_delta_ci_high,strict_delta_vs_sequential,strict_delta_ci_low,strict_delta_ci_high
sequential,250,117,0.468,98,0.392,3.1505802016481756,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
released_last1,250,110,0.44,94,0.376,3.8177331430986525,16.76217782020569,10.256,9.256,1.0,1486.44,-0.028000000000000025,-0.092,0.032,-0.016000000000000014,-0.08,0.048
full,250,102,0.408,87,0.348,3.9103623494431377,18.796779905319212,111.776,101.52,10.256,18503.088,-0.06000000000000005,-0.124,0.0,-0.04400000000000004,-0.108,0.02
query_bm25_k1,250,110,0.44,93,0.372,4.1272911844849585,16.775747928619385,10.256,9.256,1.0,1624.632,-0.028000000000000025,-0.092,0.036,-0.020000000000000018,-0.084,0.044
query_bm25_k3,250,113,0.452,98,0.392,4.149637679412961,17.24758328819275,30.768,27.768,3.0,5803.528,-0.016000000000000014,-0.08,0.048,0.0,-0.068,0.064
target_bm25_k1,250,120,0.48,101,0.404,3.922380856372416,16.500614038467408,10.256,1.196,9.06,1713.272,0.011999999999999955,-0.052,0.076,0.01200000000000001,-0.052,0.076
target_bm25_k3,250,112,0.448,95,0.38,3.9146137991771104,16.500614038467408,30.768,20.772,9.996,5784.684,-0.020000000000000018,-0.084,0.044,-0.01200000000000001,-0.076,0.052
target_bm25_k1_noself,250,104,0.416,91,0.364,3.929119998410344,16.501508472442627,10.256,10.256,0.0,1855.256,-0.052000000000000046,-0.112,0.008,-0.028000000000000025,-0.092,0.032
ppr_k1,250,109,0.436,91,0.364,3.7600992546603083,16.913363492965697,10.256,9.256,1.0,2945.728,-0.03200000000000003,-0.092,0.028,-0.028000000000000025,-0.088,0.032
