method,questions,public_correct,public_accuracy,strict_correct,strict_accuracy,avg_latency_seconds,avg_peak_vram_gb,avg_edge_count,avg_cross_edges,avg_diagonal_edges,avg_source_token_exposure,public_delta_vs_sequential,public_delta_ci_low,public_delta_ci_high,strict_delta_vs_sequential,strict_delta_ci_low,strict_delta_ci_high
sequential,100,42,0.42,34,0.34,3.177712427973747,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
released_last1,100,48,0.48,39,0.39,3.6883425165712835,16.96041093826294,10.0,9.0,1.0,1631.7,0.06,0.0,0.12,0.04999999999999999,-0.03,0.13
released_last3,100,43,0.43,35,0.35,3.6016201530210674,17.39288971424103,30.0,27.0,3.0,5476.6,0.010000000000000009,-0.06,0.08,0.009999999999999953,-0.07,0.09
full,100,42,0.42,32,0.32,3.745335058812052,18.944364161491393,100.0,90.0,10.0,18186.4,0.0,-0.07,0.07,-0.020000000000000018,-0.1,0.06
query_bm25_k1,100,47,0.47,39,0.39,3.68279728686437,16.963089575767516,10.0,9.0,1.0,1664.3,0.04999999999999999,-0.01,0.11,0.04999999999999999,-0.03,0.13
query_bm25_k3,100,43,0.43,35,0.35,3.758064312785864,17.495983290672303,30.0,27.0,3.0,6322.6,0.010000000000000009,-0.07,0.09,0.009999999999999953,-0.07,0.1
ppr_k1,100,40,0.4,30,0.3,3.64502420803532,17.14520818710327,10.0,9.0,1.0,3354.7,-0.019999999999999962,-0.09,0.05,-0.040000000000000036,-0.11,0.03
random_k1_seed42,100,42,0.42,36,0.36,3.735984782744199,16.963398847579956,10.0,9.0,1.0,1740.7,0.0,-0.08,0.08,0.019999999999999962,-0.06,0.1
reversed_rank_k1,100,45,0.45,33,0.33,3.6285057238303127,16.95469319820404,10.0,9.0,1.0,1580.8,0.030000000000000027,-0.06,0.12,-0.010000000000000009,-0.1,0.08
